Name,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SOS,NBATRB,NBAAST,NBASTL,NBABLK,NBAPTS
Eddie Robinson,0.6219850951021402,0.22459830842745912,0.6221915969652382,-0.6079783091968289,-1.3065574025504323,-0.3038327098397804,-1.331763887985674,-1.1618820734013433,-0.07617077392519135,-0.7707910200491095,-0.6933020163407811,-0.3950207566551624,-1.082872260636524,-1.0368761872061087,-0.35146020849578324,-1.4290461617781052,-0.09003030415607341,-0.9985303677387309,0.8359326545248079,-0.4647607469866918,-0.7444954759909503,1.181910007807365,-1.4018985605567917,-1.7293373452824659,-3.3928864543798904,0.24626293617914827,-0.45888762034191344,0.7036705173040827,0.429447481827558,0.6011475590783827
Gilbert Arenas,-0.5695142280710768,-0.999415600770752,0.34803998963056826,0.22407135266074835,0.8205177508919859,-0.0781922415028846,0.4035393208699481,0.4842188585158226,-0.03621818399160517,0.7317609560805622,0.7900071467089147,0.08695938485293393,0.20305544762497604,0.12634072734043647,0.10288136850051124,-0.8880440944874409,-0.6407342202250002,-0.6803186506546699,0.04120442340204132,1.5954215009157118,-0.7444954759909503,0.9109703286940468,0.44016225282875604,0.8051439075579424,1.2611449903903218,0.30441377213904197,2.174848369775744,2.8766634101187627,-0.18841781489959844,1.6440310059730296
Brandon Armstrong,-0.7049118784316696,-1.0868451657134814,0.33498515118606,0.44303178999168974,1.706799064826327,-0.13851197066225282,0.6037666141994434,1.126599709995692,-0.05486272596061204,1.608249608822871,1.4598887042152286,0.20081296158713,-0.03805599767405506,-0.39064456801358355,0.5680406020919562,-0.45524244065490965,-1.1226001467853106,-0.9530715510124365,-0.42238704475290606,1.220842910388002,-0.7444954759909503,-0.17278838775922772,0.808574415505866,1.355078519023314,-0.9147987892976607,-1.0330554549385182,-0.7058003694154439,-0.654450040705092,-0.8062831116267548,-0.7893637034478131
Carlos Arroyo,0.24287167409248026,-1.1159883540277244,0.9616173965224485,0.22407135266074835,0.9682313032143761,-0.12510758640461545,0.27005445865028505,0.32362364564585505,-0.03854875173773103,0.9821862854355075,1.2206452908201164,0.007261881138996884,0.20305544762497604,0.3202102130981939,-0.08642762191461172,-0.8880440944874409,-0.7784101992422315,-1.0439891844650255,1.6306608856475744,1.4081322056518573,-0.8754562470817459,2.2656687242606397,-2.138722885911011,0.8529643085549311,-2.0421255549703146,-0.6841504391791546,0.6933718753345617,-0.38282592910325713,-0.8062831116267548,-0.468476489018691
Shane Battier,1.4885300574099345,-0.8245564708852933,0.4655335356311408,-0.01678512840328713,-0.12484898397131099,-0.0022340640429395634,-0.46411228355786294,-0.7202452380089328,-0.02057008626761728,0.9821862854355075,0.7421584640298919,0.2956909421989601,0.20305544762497604,-0.00290559649806867,0.313825672105934,0.8431625208426845,0.8048635594559324,0.3652341340501023,-0.3561596921593421,1.4081322056518573,1.2199160903709807,-1.1210772646558427,-1.033486397879682,0.279119496591065,0.9945474444542212,1.8163355070962843,1.434110122555153,3.1482875217205977,2.2830433720090273,2.5799520480579687
Charlie Bell,1.326052876977223,-0.999415600770752,-0.10887935592721464,-0.1919534782680402,-0.2430198258292232,-0.13851197066225282,-0.46411228355786294,-0.3187572058340143,-0.05020159046836032,-0.01951503198427354,0.024428223844555536,0.01864723881241628,-0.4399084065057738,-0.6491372156905938,0.3408698135938087,-0.6716432675711753,-0.021192314647457536,-0.36210693357060875,0.3723411863698608,-0.27747145172283694,-0.8754562470817459,1.0464401682507056,-3.2439593739423396,-0.46209671886226183,0.9488450080080326,-0.9167537830187305,-0.623496119724267,-1.197698263908762,-0.8062831116267548,-0.9765479118648009
Ruben Boumtje-Boumtje,0.26995120416459883,-0.999415600770752,-0.356921286372868,-0.25764160946732273,-0.6861604827963937,-0.035745024687033014,-0.06365769689887309,0.12287962955839585,-0.04820396097168101,-1.1464290140815272,-1.219637525810028,-1.283078655181891,0.0423144840922884,0.25558705117894165,-0.29737192552003383,1.0595633477589506,0.32299763289562156,0.7743634845867525,-0.8197511603142895,-0.4647607469866918,2.267602259097344,0.9109703286940468,0.808574415505866,-0.6772885233487117,-0.31051101850916607,-0.33524542341979113,-0.7881046191066207,-0.926074152306927,0.7383801301911361,-0.9498073106623741
Jamison Brewer,-0.8944685889364996,-0.999415600770752,-0.6049632168185218,-0.5422901779975465,-1.4247282444083447,-0.10053288193228023,-1.131536594656179,-1.2823284830538186,-0.035552307492712064,-0.896003684726582,-0.7411506990198036,-0.44815242579778714,-1.1632427424028675,-0.8430067014483513,-1.0383814022878002,1.275964174675216,0.4606736119128533,-0.2711893001180197,1.299524122679755,0.09710713880487298,-0.8754562470817459,0.23362113091075046,-1.5861046418953464,-1.6097863427899937,0.38264260092469515,-0.9749046189786242,-0.2942791209595599,-0.654450040705092,-0.8062831116267548,-1.1904727214842157
Damone Brown,0.5949055650300217,-0.9702724124565089,0.1783270898519631,-0.060577215869475454,-0.18393440490026736,-0.00893625617175813,0.4702817519797801,0.4842188585158226,-0.035552307492712064,-0.896003684726582,-0.8368480643778485,-0.4291768296754211,-0.6006493700384614,-0.7137603776098461,0.12451668169081101,1.7087658285077476,1.2867294860162426,0.319775317323808,-0.6872964551271616,-0.09018215645898207,0.04126915055382208,-0.5791979064292053,0.44016225282875604,-0.3664559168682841,0.18967675815189866,-1.2075079628182,-0.7881046191066207,-0.926074152306927,-0.49735046326317667,-0.8963261082575205
Tierre Brown,0.513666974813666,-1.0577019773992382,0.11305289762942268,0.22407135266074835,0.9682313032143761,-0.127341650447555,0.7372514764191063,1.2068973164306753,-0.05219921996503965,0.10569763269319907,0.1201255892026003,-0.004123476534422724,0.44416689292400713,0.44945653693669907,0.08124605531021208,0.5185612804682862,-0.09003030415607341,-0.49848338374949197,0.769705301931244,0.8462643198602924,-0.8754562470817459,1.588319526477343,-2.5071350485881205,0.7095031055639647,-3.3421059694396806,-0.6841504391791546,0.611067625643385,0.1604222941004129,-0.49735046326317667,-0.4417358878162641
